x-axis,MATH
second,Volt
-13.1800E-06,+6.4781250060E+00
-13.0800E-06,+6.4781250060E+00
-12.9800E-06,+6.4781250060E+00
-12.8800E-06,+6.4761718810E+00
-12.7800E-06,+6.4683593810E+00
-12.6800E-06,+6.4683593810E+00
-12.5800E-06,+6.4683593810E+00
-12.4800E-06,+6.4703125060E+00
-12.3800E-06,+6.4761718810E+00
-12.2800E-06,+6.4644531310E+00
-12.1800E-06,+6.4468750060E+00
-12.0800E-06,+6.4410156310E+00
-11.9800E-06,+6.4449218810E+00
-11.8800E-06,+6.4332031310E+00
-11.7800E-06,+6.4488281310E+00
-11.6800E-06,+6.4449218810E+00
-11.5800E-06,+6.4312500060E+00
-11.4800E-06,+6.4390625060E+00
-11.3800E-06,+6.4371093810E+00
-11.2800E-06,+6.4273437560E+00
-11.1800E-06,+6.4195312560E+00
-11.0800E-06,+6.4214843810E+00
-10.9800E-06,+6.4273437560E+00
-10.8800E-06,+6.4117187560E+00
-10.7800E-06,+6.3863281310E+00
-10.6800E-06,+6.4078125060E+00
-10.5800E-06,+6.4000000060E+00
-10.4800E-06,+6.3980468810E+00
-10.3800E-06,+6.3921875060E+00
-10.2800E-06,+6.4000000060E+00
-10.1800E-06,+6.3980468810E+00
-10.0800E-06,+6.3902343810E+00
-9.9800E-06,+6.3882812560E+00
-9.8800E-06,+6.3824218810E+00
-9.7800E-06,+6.3921875060E+00
-9.6800E-06,+6.3921875060E+00
-9.5800E-06,+6.3667968810E+00
-9.4800E-06,+6.3902343810E+00
-9.3800E-06,+6.3863281310E+00
-9.2800E-06,+6.3707031310E+00
-9.1800E-06,+6.3707031310E+00
-9.0800E-06,+6.3726562560E+00
-8.9800E-06,+6.3765625060E+00
-8.8800E-06,+6.3589843810E+00
-8.7800E-06,+6.3531250060E+00
-8.6800E-06,+6.3628906310E+00
-8.5800E-06,+6.3687500060E+00
-8.4800E-06,+6.3628906310E+00
-8.3800E-06,+6.3687500060E+00
-8.2800E-06,+6.3628906310E+00
-8.1800E-06,+6.3667968810E+00
-8.0800E-06,+6.3511718810E+00
-7.9800E-06,+6.3492187560E+00
-7.8800E-06,+6.3414062560E+00
-7.7800E-06,+6.3433593810E+00
-7.6800E-06,+6.3472656310E+00
-7.5800E-06,+6.3335937560E+00
-7.4800E-06,+6.3433593810E+00
-7.3800E-06,+6.3472656310E+00
-7.2800E-06,+6.3296875060E+00
-7.1800E-06,+6.3218750060E+00
-7.0800E-06,+6.3218750060E+00
-6.9800E-06,+6.3238281310E+00
-6.8800E-06,+6.3277343810E+00
-6.7800E-06,+6.3121093810E+00
-6.6800E-06,+6.3121093810E+00
-6.5800E-06,+6.3121093810E+00
-6.4800E-06,+6.3101562560E+00
-6.3800E-06,+6.3042968810E+00
-6.2800E-06,+6.3101562560E+00
-6.1800E-06,+6.3003906310E+00
-6.0800E-06,+6.2964843810E+00
-5.9800E-06,+6.3082031310E+00
-5.8800E-06,+6.2925781310E+00
-5.7800E-06,+6.2886718810E+00
-5.6800E-06,+6.2730468810E+00
-5.5800E-06,+6.2769531310E+00
-5.4800E-06,+6.2867187560E+00
-5.3800E-06,+6.2671875060E+00
-5.2800E-06,+6.2808593810E+00
-5.1800E-06,+6.2750000060E+00
-5.0800E-06,+6.2847656310E+00
-4.9800E-06,+6.2925781310E+00
-4.8800E-06,+6.2886718810E+00
-4.7800E-06,+6.2730468810E+00
-4.6800E-06,+6.2750000060E+00
-4.5800E-06,+6.2828125060E+00
-4.4800E-06,+6.2789062560E+00
-4.3800E-06,+6.2652343810E+00
-4.2800E-06,+6.2710937560E+00
-4.1800E-06,+6.2593750060E+00
-4.0800E-06,+6.2437500060E+00
-3.9800E-06,+6.2457031310E+00
-3.8800E-06,+6.2515625060E+00
-3.7800E-06,+6.2457031310E+00
