time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
9.324948457186712e-006	-2.649596e-001	3.857126e-007	8.338495e-001	2.649598e-001	8.338493e-001
9.788948457187079e-006	-2.647421e-001	3.855394e-007	8.452661e-001	2.647423e-001	8.452659e-001
1.025294845718745e-005	-2.645248e-001	3.853652e-007	8.566658e-001	2.645250e-001	8.566656e-001
1.071694845718781e-005	-2.643076e-001	3.851928e-007	8.680487e-001	2.643079e-001	8.680485e-001
1.118094845718818e-005	-2.640907e-001	3.850182e-007	8.794149e-001	2.640909e-001	8.794146e-001
1.210894845718891e-005	-2.636572e-001	3.846708e-007	9.020970e-001	2.636575e-001	9.020967e-001
1.303694845718965e-005	-2.632245e-001	3.843243e-007	9.247123e-001	2.632248e-001	9.247121e-001
1.396494845719038e-005	-2.627926e-001	3.839768e-007	9.472610e-001	2.627928e-001	9.472607e-001
1.489294845719111e-005	-2.623613e-001	3.836303e-007	9.697433e-001	2.623615e-001	9.697430e-001
1.535694845719148e-005	-2.621459e-001	3.797524e-007	9.809622e-001	2.621461e-001	9.809619e-001
1.553599999999916e-005	-2.620628e-001	3.875442e-007	9.852872e-001	2.620631e-001	9.852869e-001
1.564189691438418e-005	-2.620137e-001	3.861719e-007	9.878433e-001	2.620139e-001	9.878431e-001
1.578820617122948e-005	-2.619449e-001	1.294770e-006	9.913737e-001	2.619461e-001	9.913726e-001
1.578920617122982e-005	-2.619449e-001	8.775534e-007	9.913979e-001	2.619456e-001	9.913971e-001
1.579120617123050e-005	-2.619445e-001	2.989158e-007	9.914461e-001	2.619447e-001	9.914460e-001
1.579367817803028e-005	-2.619433e-001	4.224750e-007	9.915057e-001	2.619435e-001	9.915054e-001
1.579646510842334e-005	-2.619421e-001	3.066227e-007	9.915729e-001	2.619422e-001	9.915728e-001
1.580090544251161e-005	-2.619399e-001	4.053780e-007	9.916800e-001	2.619402e-001	9.916798e-001
1.580628845859050e-005	-2.619375e-001	3.535631e-007	9.918099e-001	2.619377e-001	9.918097e-001
1.581429672762452e-005	-2.619337e-001	4.000159e-007	9.920031e-001	2.619340e-001	9.920028e-001
1.582554393329046e-005	-2.619286e-001	3.717204e-007	9.922743e-001	2.619288e-001	9.922741e-001
1.584139197663773e-005	-2.619212e-001	3.921428e-007	9.926566e-001	2.619214e-001	9.926563e-001
1.586479545550266e-005	-2.619103e-001	3.778264e-007	9.932210e-001	2.619106e-001	9.932207e-001
1.589811231638219e-005	-2.618949e-001	3.873047e-007	9.940244e-001	2.618951e-001	9.940242e-001
1.594705518398725e-005	-2.618719e-001	7.462932e-007	9.952045e-001	2.618725e-001	9.952039e-001
1.594805518398759e-005	-2.618716e-001	5.789411e-007	9.952286e-001	2.618720e-001	9.952282e-001
1.595005518398827e-005	-2.618709e-001	3.041508e-007	9.952769e-001	2.618711e-001	9.952767e-001
1.595405518398964e-005	-2.618690e-001	3.880308e-007	9.953733e-001	2.618692e-001	9.953731e-001
1.595824509415672e-005	-2.618670e-001	3.505335e-007	9.954743e-001	2.618673e-001	9.954741e-001
1.596662491449175e-005	-2.618631e-001	3.964656e-007	9.956763e-001	2.618634e-001	9.956761e-001
1.598107309299171e-005	-2.618562e-001	6.025379e-007	9.960247e-001	2.618567e-001	9.960243e-001
1.598207309299205e-005	-2.618559e-001	5.056284e-007	9.960487e-001	2.618562e-001	9.960485e-001
1.598407309299273e-005	-2.618551e-001	3.302134e-007	9.960970e-001	2.618553e-001	9.960968e-001
1.598807309299410e-005	-2.618532e-001	3.971061e-007	9.961934e-001	2.618535e-001	9.961932e-001
1.599357021568604e-005	-2.618505e-001	5.301289e-007	9.963259e-001	2.618509e-001	9.963256e-001
1.599457021568638e-005	-2.618501e-001	4.755608e-007	9.963500e-001	2.618504e-001	9.963497e-001
1.599657021568706e-005	-2.618492e-001	4.592848e-007	9.963983e-001	2.618495e-001	9.963979e-001
1.599757021568740e-005	-2.618490e-001	2.038492e-007	9.964224e-001	2.618490e-001	9.964223e-001
1.599799999999884e-005	-2.618488e-001	2.162482e-007	9.964327e-001	2.618488e-001	9.964327e-001
1.599885956862172e-005	-2.618488e-001	-2.508606e-007	9.964535e-001	2.618484e-001	9.964538e-001
1.599899999999918e-005	-2.618485e-001	-2.113173e-008	9.964568e-001	2.618484e-001	9.964570e-001
1.599928086275411e-005	-2.618482e-001	1.928041e-007	9.964636e-001	2.618482e-001	9.964635e-001
1.599943827448967e-005	-2.618481e-001	1.934721e-007	9.964674e-001	2.618482e-001	9.964674e-001
1.599968517652841e-005	-2.618478e-001	4.473161e-007	9.964733e-001	2.618481e-001	9.964730e-001
1.599999999999952e-005	-2.618454e-001	2.656371e-006	9.964809e-001	2.618479e-001	9.964784e-001
1.600001422964563e-005	-2.618459e-001	2.111252e-006	9.964813e-001	2.618479e-001	9.964793e-001
1.600004268893784e-005	-2.618474e-001	6.082937e-007	9.964820e-001	2.618479e-001	9.964815e-001
1.600008587690060e-005	-2.618476e-001	3.778261e-007	9.964830e-001	2.618479e-001	9.964828e-001
1.600013479668462e-005	-2.618476e-001	4.301221e-007	9.964842e-001	2.618479e-001	9.964839e-001
1.600019791496519e-005	-2.618476e-001	4.278340e-007	9.964857e-001	2.618478e-001	9.964854e-001
