time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
1.603184302476166e-005	-7.190980e-002	5.236272e-008	4.267275e-001	7.190969e-002	4.267277e-001
1.603269648390790e-005	-7.190979e-002	3.239855e-008	4.267496e-001	7.190966e-002	4.267498e-001
1.603354746240043e-005	-7.190979e-002	8.927525e-009	4.267717e-001	7.190963e-002	4.267718e-001
1.603469622707670e-005	-7.190979e-002	-2.574060e-008	4.268015e-001	7.190960e-002	4.268017e-001
1.603608208084612e-005	-7.190978e-002	-6.437326e-008	4.268374e-001	7.190955e-002	4.268376e-001
1.603813855044576e-005	-7.190976e-002	-1.026945e-007	4.268907e-001	7.190949e-002	4.268910e-001
1.604140629753777e-005	-7.190967e-002	-1.218757e-007	4.269754e-001	7.190938e-002	4.269757e-001
1.604451949829659e-005	-7.190956e-002	-1.139137e-007	4.270561e-001	7.190929e-002	4.270563e-001
1.604713877064942e-005	-7.190948e-002	-1.138448e-007	4.271239e-001	7.190920e-002	4.271241e-001
1.604978589001428e-005	-7.191014e-002	-8.501042e-007	4.271925e-001	7.190912e-002	4.271935e-001
1.605122245186292e-005	-7.191158e-002	-2.346099e-006	4.272298e-001	7.190907e-002	4.272322e-001
1.605295089473005e-005	-7.191323e-002	-4.049515e-006	4.272746e-001	7.190901e-002	4.272785e-001
1.605430513236267e-005	-7.191317e-002	-4.026733e-006	4.273097e-001	7.190897e-002	4.273132e-001
1.605579913826517e-005	-7.191264e-002	-3.550352e-006	4.273484e-001	7.190893e-002	4.273514e-001
1.605801291478318e-005	-7.191210e-002	-3.074084e-006	4.274058e-001	7.190886e-002	4.274087e-001
1.606121393220392e-005	-7.191138e-002	-2.450718e-006	4.274888e-001	7.190876e-002	4.274914e-001
1.606465283592734e-005	-7.191097e-002	-2.151464e-006	4.275779e-001	7.190865e-002	4.275803e-001
1.607012363763396e-005	-7.191056e-002	-1.913424e-006	4.277198e-001	7.190848e-002	4.277219e-001
1.607804226565635e-005	-7.191005e-002	-1.658906e-006	4.279252e-001	7.190824e-002	4.279270e-001
1.609034390212365e-005	-7.190932e-002	-1.312961e-006	4.282443e-001	7.190785e-002	4.282459e-001
1.611412622932584e-005	-7.190792e-002	-6.407083e-007	4.288614e-001	7.190710e-002	4.288623e-001
1.613755315239829e-005	-7.190648e-002	5.295589e-008	4.294693e-001	7.190637e-002	4.294695e-001
1.614785016722936e-005	-7.190578e-002	4.425296e-007	4.297365e-001	7.190605e-002	4.297363e-001
1.615412888021986e-005	-7.190531e-002	7.137403e-007	4.298994e-001	7.190586e-002	4.298989e-001
1.616045528664116e-005	-7.190490e-002	9.270220e-007	4.300636e-001	7.190566e-002	4.300629e-001
1.616364739800806e-005	-7.190471e-002	1.007029e-006	4.301464e-001	7.190556e-002	4.301456e-001
1.616569967362834e-005	-7.190464e-002	1.022985e-006	4.301997e-001	7.190549e-002	4.301988e-001
1.616756320817724e-005	-7.190458e-002	1.026973e-006	4.302480e-001	7.190543e-002	4.302472e-001
1.616976881764400e-005	-7.190450e-002	1.035242e-006	4.303052e-001	7.190537e-002	4.303044e-001
1.617208243709454e-005	-7.190442e-002	1.035086e-006	4.303652e-001	7.190529e-002	4.303644e-001
1.617457125081562e-005	-7.190434e-002	1.037779e-006	4.304298e-001	7.190522e-002	4.304290e-001
1.617736027646494e-005	-7.190426e-002	1.036256e-006	4.305021e-001	7.190513e-002	4.305013e-001
1.618022259600432e-005	-7.190417e-002	1.036554e-006	4.305764e-001	7.190504e-002	4.305755e-001
1.618353098065215e-005	-7.190406e-002	1.034803e-006	4.306622e-001	7.190493e-002	4.306614e-001
1.618689400785783e-005	-7.190396e-002	1.034752e-006	4.307494e-001	7.190483e-002	4.307486e-001
1.619104373631278e-005	-7.190383e-002	1.034042e-006	4.308571e-001	7.190470e-002	4.308562e-001
1.619496857248499e-005	-7.190371e-002	1.035077e-006	4.309588e-001	7.190458e-002	4.309580e-001
1.619992753677194e-005	-7.190355e-002	1.037193e-006	4.310874e-001	7.190442e-002	4.310866e-001
1.620459667077585e-005	-7.190339e-002	1.041510e-006	4.312085e-001	7.190427e-002	4.312076e-001
1.621035422305975e-005	-7.190321e-002	1.049210e-006	4.313578e-001	7.190409e-002	4.313569e-001
1.621633425369449e-005	-7.190301e-002	1.061350e-006	4.315128e-001	7.190391e-002	4.315119e-001
1.622354910485891e-005	-7.190277e-002	1.081580e-006	4.316999e-001	7.190368e-002	4.316989e-001
1.623178968020427e-005	-7.190247e-002	1.114531e-006	4.319135e-001	7.190342e-002	4.319124e-001
1.624249155596051e-005	-7.190207e-002	1.175731e-006	4.321908e-001	7.190309e-002	4.321896e-001
1.625556601066430e-005	-7.190154e-002	1.292481e-006	4.325295e-001	7.190268e-002	4.325278e-001
1.627543057168557e-005	-7.190061e-002	1.615031e-006	4.330440e-001	7.190206e-002	4.330416e-001
1.630195004954666e-005	-7.189883e-002	2.568802e-006	4.337305e-001	7.190122e-002	4.337277e-001
1.632284643630130e-005	-7.189631e-002	4.430431e-006	4.342711e-001	7.190058e-002	4.342668e-001
1.633837684287143e-005	-7.189234e-002	7.917396e-006	4.346724e-001	7.190010e-002	4.346647e-001
1.634934649828723e-005	-7.188591e-002	1.401493e-005	4.349556e-001	7.189977e-002	4.349417e-001
1.635738620968559e-005	-7.187495e-002	2.475165e-005	4.351628e-001	7.189954e-002	4.351382e-001
1.636345401656841e-005	-7.185573e-002	4.382303e-005	4.353188e-001	7.189939e-002	4.352751e-001
1.636812037351856e-005	-7.182169e-002	7.779404e-005	4.354385e-001	7.189932e-002	4.353608e-001
1.637178026583832e-005	-7.176086e-002	1.386484e-004	4.355319e-001	7.189934e-002	4.353934e-001
1.637476884741237e-005	-7.165833e-002	2.413061e-004	4.356077e-001	7.189947e-002	4.353658e-001
1.637809414152276e-005	-7.153350e-002	3.662977e-004	4.356912e-001	7.189964e-002	4.353234e-001
1.638137573845531e-005	-7.148451e-002	4.152870e-004	4.357723e-001	7.189964e-002	4.353561e-001
