time	V(vc)	V(vdd)	V(vo)	V(vsw)
1.600128882030261e-005	1.479437e+001	6.000000e+000	1.466345e+001	4.798944e-002
1.600142290821439e-005	1.479437e+001	6.000000e+000	1.466345e+001	4.798935e-002
1.600159223961572e-005	1.479437e+001	6.000000e+000	1.466344e+001	4.798929e-002
1.600193090241838e-005	1.479436e+001	6.000000e+000	1.466343e+001	4.798933e-002
1.600240309093497e-005	1.479434e+001	6.000000e+000	1.466342e+001	4.798964e-002
1.600290285647989e-005	1.479433e+001	6.000000e+000	1.466341e+001	4.799011e-002
1.600360848469460e-005	1.479431e+001	6.000000e+000	1.466339e+001	4.799087e-002
1.600462352367976e-005	1.479429e+001	6.000000e+000	1.466336e+001	4.799198e-002
1.600665360165007e-005	1.479423e+001	6.000000e+000	1.466331e+001	4.799424e-002
1.601071375759069e-005	1.479413e+001	6.000000e+000	1.466321e+001	4.799876e-002
1.601883406947106e-005	1.479391e+001	6.000000e+000	1.466299e+001	4.800779e-002
1.602290769780589e-005	1.479381e+001	6.000000e+000	1.466289e+001	4.801225e-002
1.602532430596687e-005	1.479374e+001	6.000000e+000	1.466283e+001	4.801474e-002
1.602676629936829e-005	1.479371e+001	6.000000e+000	1.466279e+001	4.801601e-002
1.602812626077046e-005	1.479367e+001	6.000000e+000	1.466275e+001	4.801686e-002
1.602913835640520e-005	1.479364e+001	6.000000e+000	1.466273e+001	4.801710e-002
1.603001262827884e-005	1.479362e+001	6.000000e+000	1.466270e+001	4.801686e-002
1.603079136163789e-005	1.479360e+001	6.000000e+000	1.466268e+001	4.801611e-002
1.603156003614995e-005	1.479358e+001	6.000000e+000	1.466266e+001	4.801470e-002
1.603237494598227e-005	1.479356e+001	6.000000e+000	1.466264e+001	4.801227e-002
1.603319829372382e-005	1.479354e+001	6.000000e+000	1.466262e+001	4.800859e-002
1.603418039525673e-005	1.479351e+001	6.000000e+000	1.466260e+001	4.800222e-002
1.603547522672881e-005	1.479348e+001	6.000000e+000	1.466256e+001	4.799048e-002
1.603718282915546e-005	1.479343e+001	6.000000e+000	1.466252e+001	4.796992e-002
1.603978916037488e-005	1.479337e+001	6.000000e+000	1.466245e+001	4.793241e-002
1.604269596802797e-005	1.479329e+001	6.000000e+000	1.466238e+001	4.788827e-002
1.604586594214624e-005	1.479321e+001	6.000000e+000	1.466229e+001	4.784139e-002
1.604879817460742e-005	1.479313e+001	6.000000e+000	1.466222e+001	4.778394e-002
1.605074646789800e-005	1.479308e+001	6.000000e+000	1.466217e+001	4.765258e-002
1.605210400234831e-005	1.479304e+001	6.000000e+000	1.466213e+001	4.739336e-002
